[step],ticks,SEED,mean-weight,weight-sd,mean-firing-rate
2000,2000,1,0.07325601703344059,0.1260130496629832,0.08935333333333334
2000,2000,2,0.0670524938040555,0.10332515256891706,0.08351
2000,2000,3,0.08266372037232379,0.1383890188831818,0.08947333333333334
2000,2000,4,0.08692372049114146,0.1253881848284624,0.08537333333333333
2000,2000,5,0.08233765170315298,0.1589485124224966,0.08881
2000,2000,6,0.07485327805308725,0.11980120165324945,0.08659333333333333
2000,2000,7,0.08071577419894033,0.1415871212351612,0.08903666666666667
2000,2000,8,0.07463206446908216,0.10610310409361962,0.08752666666666667
2000,2000,9,0.08816411750035738,0.14814006744998703,0.08971333333333334
2000,2000,10,0.047616453197794034,0.09569858252336856,0.08764
2000,2000,11,0.059919751075594926,0.10851150703892756,0.08647
2000,2000,12,0.09662820512873983,0.15508182516017077,0.08965666666666666
2000,2000,13,0.06383743333566287,0.11433221057392291,0.08728
2000,2000,14,0.08266714181985044,0.13348221088102585,0.08882
2000,2000,15,0.05765689429817367,0.11133182294490035,0.08763
2000,2000,16,0.0703936208862639,0.1424399982230882,0.09002
2000,2000,17,0.08610834814446275,0.13327823147793427,0.08793666666666666
2000,2000,18,0.06323853624935571,0.11827146964480269,0.08830666666666667
2000,2000,19,0.08187066707093704,0.1421694666360125,0.08995
2000,2000,20,0.05593401852263582,0.08632405348734114,0.08456
